Model,EVS,MAE,MAPE,MSE,MSLE,Max Err,MedAE,R2,R2 Adjusted,RMSE
Lasso,0.3762826069312103,0.0374522644403457,0.14026642222927407,0.0029816903391121316,0.0017575424167008637,0.23750249004753915,0.023211801047473557,0.376281854144763,0.33637109475157245,0.054604856369302276
Lasso_1,0.0,0.051255177801859994,0.19576442969285066,0.004780688811806081,0.0028424870597121765,0.2036488165490234,0.031213568772077593,-3.757013160066158e-05,-0.06402842739765946,0.06914252535022192
Lr,0.9945900576151233,0.0026604715998083932,0.009730113957978397,2.5862319913672007e-05,1.5687666371956032e-05,0.09125713839053382,0.0016311304003062688,0.9945900491367343,0.994243874749044,0.005085500950120058
RidgeCV,0.9943423288521105,0.0028025430034146026,0.010141326682916027,2.704657816712298e-05,1.6276242346302783e-05,0.09252521780180908,0.0019226224860622865,0.9943423227540289,0.9939802967382896,0.005200632477605294
adaboost,0.9739488989831153,0.01084504284124371,0.0353074371107421,0.000178143931074642,0.00010233139214657207,0.13119370517129783,0.00831607264700679,0.9627353649278265,0.960350858570069,0.013347057019232441
bagged_dt,0.9990513861056469,0.00021904995900429654,0.0009377392486587103,4.5351392189929544e-06,2.754245174264163e-06,0.15082568807339455,3.885780586188048e-16,0.9990513271657485,0.9989906230584811,0.002129586631013858
bagged_svm,0.6547576360856011,0.031755322497877464,0.11569675238921458,0.0016659126455904722,0.0009856432359417152,0.10356926122101473,0.02191372896698035,0.65151983328561,0.6292211264426878,0.04081559316720109
dt_regressor,0.998990195066483,0.00017087075484179201,0.0006864041137348029,4.8277542758872035e-06,2.79069421772553e-06,0.1706422018348623,5.551115123125783e-16,0.9989901171472764,0.9989254963056058,0.002197215118254743
dt_regressor_pca,0.9848433668085946,0.0012874168821354537,0.005345417097205888,7.246555491685532e-05,4.312053431472924e-05,0.2477064220183486,3.3306690738754696e-16,0.9848414568883197,0.9838714851616642,0.008512670257730845
elasticnet,0.8372636079716359,0.018574778921615256,0.06638044111817376,0.0007779821995433614,0.0004484734312980022,0.18625820302907414,0.011892809562405626,0.8372595542057341,0.826846044804417,0.027892332271492848
elasticnet_1,0.0,0.051255177801859994,0.19576442969285066,0.004780688811806081,0.0028424870597121765,0.2036488165490234,0.031213568772077593,-3.757013160066158e-05,-0.06402842739765946,0.06914252535022192
grboost,0.997574852771479,0.0016555055768984665,0.006195656958571625,1.1596269340265698e-05,7.071336652258909e-06,0.09902078496749059,0.0008795155424057288,0.9975742606410624,0.9974190413315898,0.0034053295494365443
pca,0.9940112871983727,0.003036336647061149,0.010805099754504142,2.8629105085809053e-05,1.7031808576449377e-05,0.09205986416005116,0.002148390436233716,0.9940112854418904,0.9936280768605921,0.005350617262130515
rdg,0.9940112871983727,0.003036336647061149,0.010805099754504142,2.8629105085809053e-05,1.7031808576449377e-05,0.09205986416005116,0.002148390436233716,0.9940112854418904,0.9936280768605921,0.005350617262130515
rf_model,0.9990513861056469,0.00021904995900429654,0.0009377392486587103,4.5351392189929544e-06,2.754245174264163e-06,0.15082568807339455,3.885780586188048e-16,0.9990513271657485,0.9989906230584811,0.002129586631013858
tf1,0.9987768772994777,0.0014679199533852998,0.005053399773641413,6.88316241217062e-06,4.1501632772230926e-06,0.1135406408834895,0.0011490399684381258,0.9985601612477915,0.9984680281931637,0.002623578169632195
tf2,0.9986782057253931,0.0013100332401034022,0.004862498183545779,6.368851174068985e-06,3.855249236970495e-06,0.0706685931310741,0.0009202976839257637,0.9986677462802186,0.9985824974254046,0.0025236582918590593
tf3,0.9989017872289856,0.001031383451210727,0.003883313587930993,5.252502233938764e-06,3.1627562483295095e-06,0.08391698341850842,0.0006357337356707182,0.9989012672068998,0.9988309609949766,0.0022918338146424937
tf4,0.9985401455244121,0.0014306757390983907,0.005303281629945579,7.418685906050662e-06,4.514591424315869e-06,0.06946446009732166,0.0009089585837967484,0.9984481389776437,0.998348837791224,0.0027237264741619455
tf5,0.7416815333415411,0.023744378078306795,0.08177711354519344,0.0012548154750661273,0.0007292644707820517,0.25041147175185174,0.015469696106166997,0.737514264565865,0.7207182083653647,0.03542337469900528
tf6,0.8199471052043232,0.019268122462770102,0.06665474714500448,0.0008611697166485755,0.0005036061550266399,0.2973424703156182,0.014010226289066618,0.8198581616980818,0.8083311641064748,0.029345693323698716
xgboost,0.9991070663554812,0.00038662080152522955,0.001576247755965618,4.269824987585355e-06,2.580005046565955e-06,0.1460014198351344,7.831629263149731e-05,0.9991068263228247,0.999049673520773,0.002066355484321455
